NPC_speed,NPC_Angle,NPC_location,AV_speed,AV_angle,AV_location,NPC_CMD
0.0,"Vector(0, 180, 0)","Vector(-8.74997138977051, 0, 470.185546875)",0.0,"Vector(0, 180, 0)","Vector(-5.24997282028198, 0, 450.185546875)","[22, 0]"
1.5932298059018941,"Vector(359.977264404297, 180.049026489258, -1.04817308965721e-05)","Vector(-8.74996471405029, -0.00787317752838135, 469.966156005859)",0.20816397999694988,"Vector(359.971954345703, 180.003341674805, -0.000129439940792508)","Vector(-5.24996519088745, -0.00223740935325623, 450.172302246094)","[22, 0]"
3.018196762426371,"Vector(0.0102577684447169, 180.027328491211, 7.75085391069297e-06)","Vector(-8.74997997283936, -0.0113611221313477, 469.363983154297)",0.4837454616679267,"Vector(359.939727783203, 179.996795654297, 4.51496089226566e-05)","Vector(-5.24996471405029, -0.00309082865715027, 450.071624755859)","[22, 0]"
4.177859606297676,"Vector(0.0123157845810056, 179.928665161133, -1.55826255650027e-05)","Vector(-8.75000953674316, -0.0120794773101807, 468.442047119141)",1.2139315334850047,"Vector(359.869567871094, 179.995788574219, 3.69449730897031e-06)","Vector(-5.24994945526123, -0.00325506925582886, 449.866485595703)","[22, 0]"
5.072023464951566,"Vector(0.00415125908330083, 179.947250366211, -4.26220321969595e-06)","Vector(-8.74994277954102, -0.012127697467804, 467.267303466797)",2.324876823886201,"Vector(359.776123046875, 179.99365234375, -5.41146582690999e-05)","Vector(-5.24991941452026, -0.0033629834651947, 449.419769287109)","[22, 0]"
5.734346229024748,"Vector(-8.47344199428335e-05, 179.763870239258, 1.36102710257546e-06)","Vector(-8.74824523925781, -0.0121096968650818, 465.902191162109)",3.2401249460532355,"Vector(359.776275634766, 179.992431640625, -5.76584307054873e-06)","Vector(-5.24987983703613, -0.00343602895736694, 448.708343505859)","[22, 0]"
6.198120190558958,"Vector(-0.000893580669071525, 179.990844726563, 2.7798951123259e-06)","Vector(-8.74768543243408, -0.0121070146560669, 464.400115966797)",4.177733433196476,"Vector(359.791015625, 179.992752075195, 9.60132165346295e-05)","Vector(-5.24985504150391, -0.00348183512687683, 447.783142089844)","[22, 0]"
6.51245135064398,"Vector(-0.00075270829256624, 180.013900756836, 7.15545979801391e-07)","Vector(-8.74770736694336, -0.0121114253997803, 462.803833007813)",5.043123178662218,"Vector(359.783630371094, 179.9931640625, 0.000186101417057216)","Vector(-5.2498345375061, -0.00348585844039917, 446.617584228516)","[22, 0]"
6.713867406964044,"Vector(-0.000615997996646911, 179.985137939453, -2.19079629459884e-06)","Vector(-8.74776077270508, -0.0121141076087952, 461.1455078125)",5.86614950410965,"Vector(359.810821533203, 179.99479675293, 0.000226819247473031)","Vector(-5.24983739852905, -0.00337326526641846, 445.262054443359)","[15, 0]"
4.870780314539345,"Vector(-0.000593393458984792, 170.465286254883, 1.16108594738762e-05)","Vector(-8.67231369018555, -0.0121150016784668, 460.443939208984)",6.428407246337784,"Vector(359.833038330078, 179.992370605469, -0.000198085952433757)","Vector(-5.2497501373291, -0.00359976291656494, 443.711883544922)","[15, 0]"
7.90216204452508,"Vector(-0.000596362282522023, 163.047988891602, -1.43321312862099e-06)","Vector(-8.28185272216797, -0.0121145844459534, 458.815338134766)",7.186354708120609,"Vector(359.843353271484, 179.989807128906, -6.21568906353787e-05)","Vector(-5.24955415725708, -0.00372284650802612, 442.009063720703)","[15, 0]"
13.760585175625382,"Vector(-0.000631130300462246, 155.591567993164, 2.95592508336995e-06)","Vector(-7.33565425872803, -0.0121127963066101, 456.313568115234)",8.028176462306488,"Vector(359.806243896484, 179.985565185547, -0.000133340523461811)","Vector(-5.24925374984741, -0.00394189357757568, 440.101989746094)","[15, 0]"
13.175059134517342,"Vector(-0.000617532467003912, 159.36653137207, -3.14825592795387e-05)","Vector(-5.87839269638062, -0.012113094329834, 453.108642578125)",8.325030398324445,"Vector(359.890045166016, 179.98893737793, 0.000513782550115138)","Vector(-5.24892568588257, -0.00404241681098938, 438.036346435547)","[15, 0]"
12.102665988480627,"Vector(-0.000599465391132981, 167.657730102539, -9.47124408412492e-06)","Vector(-4.98199367523193, -0.0121144652366638, 450.12109375)",8.476182075171705,"Vector(359.948120117188, 179.992156982422, 0.000508966215420514)","Vector(-5.2486720085144, -0.00403913855552673, 435.940124511719)","[15, 0]"
11.838200524913578,"Vector(-0.000592336989939213, 176.941177368164, -5.26618532603607e-06)","Vector(-4.56310892105103, -0.012114405632019, 447.186401367188)",8.572930379075618,"Vector(359.966918945313, 179.992614746094, 0.000611659372225404)","Vector(-5.24841213226318, -0.00407522916793823, 433.804870605469)","[15, 0]"
6.666152467154271,"Vector(-0.000620483478996903, 179.003753662109, 1.45785616041394e-05)","Vector(-4.50821781158447, -0.0121133923530579, 444.937438964844)",8.632965134435526,"Vector(359.980010986328, 179.994338989258, 0.000630597060080618)","Vector(-5.24821043014526, -0.00415998697280884, 431.653381347656)","[15, 0]"
5.892991034830389,"Vector(-0.000611829455010593, 179.826126098633, 4.48469836555887e-06)","Vector(-4.49142456054688, -0.0121133327484131, 443.425323486328)",8.686043764536086,"Vector(359.984130859375, 179.995010375977, 0.000601695384830236)","Vector(-5.24802684783936, -0.0041196346282959, 429.488311767578)","[6, 1]"
4.568235106933486,"Vector(-0.000595179793890566, 182.182266235352, -4.37976524381156e-07)","Vector(-4.50632810592651, -0.0121136903762817, 442.795501708984)",8.73887826698985,"Vector(359.985015869141, 179.995986938477, 0.000582059030421078)","Vector(-5.2478814125061, -0.0041203498840332, 427.309997558594)","[6, 1]"
8.13859286832792,"Vector(-0.000597908510826528, 184.228073120117, 1.98979228116514e-06)","Vector(-4.6053466796875, -0.012114405632019, 441.084503173828)",8.79146386124991,"Vector(359.985198974609, 179.996780395508, 0.000587397255003452)","Vector(-5.24776601791382, -0.00413230061531067, 425.118499755859)","[6, 1]"
8.350790198861885,"Vector(-0.000617188634350896, 184.66926574707, 9.407472134626e-07)","Vector(-4.76931715011597, -0.0121132135391235, 439.010375976563)",8.843294150910548,"Vector(359.985290527344, 179.997650146484, 0.000595181889366359)","Vector(-5.24768400192261, -0.00416982173919678, 422.914001464844)","[6, 1]"
