NPC_speed,NPC_Angle,NPC_location,AV_speed,AV_angle,AV_location,NPC_CMD
0.0,"Vector(0, 180, 0)","Vector(-8.74997138977051, 0, 470.185546875)",0.0,"Vector(0, 180, 0)","Vector(-5.24997282028198, 0, 450.185546875)","[16, 2]"
1.1386026747689275,"Vector(359.977264404297, 180.048370361328, -1.03125330497278e-05)","Vector(-8.74996662139893, -0.00787270069122314, 470.028900146484)",0.006325540357929109,"Vector(0.000256132072536275, 180, -0.000102529767900705)","Vector(-5.24997234344482, -0.00222727656364441, 450.185546875)","[16, 2]"
2.154552378200397,"Vector(0.0102553153410554, 180.025985717773, 7.2017674028757e-06)","Vector(-8.74997997283936, -0.0113610029220581, 469.598785400391)",0.001298226266680434,"Vector(-0.000184415082912892, 180, 6.35107935522683e-05)","Vector(-5.24997329711914, -0.00303956866264343, 450.185546875)","[16, 2]"
2.9846209541382853,"Vector(0.0123193077743053, 179.938186645508, -1.28076080727624e-05)","Vector(-8.74999809265137, -0.0120794773101807, 468.940307617188)",0.00013834026084017363,"Vector(-0.000105441045889165, 180, 3.76006319129374e-05)","Vector(-5.24997282028198, -0.00317096710205078, 450.185546875)","[16, 2]"
3.6224373087455572,"Vector(0.00415392825379968, 179.961242675781, -3.41794816449692e-06)","Vector(-8.74995994567871, -0.0121277570724487, 468.101287841797)",0.6937440832479257,"Vector(359.892272949219, 179.99494934082, -0.000119175616418943)","Vector(-5.24989604949951, -0.00323840975761414, 450.107452392578)","[16, 2]"
4.095467196769403,"Vector(-8.7936787167564e-05, 180.119186401367, -1.88099079423409e-06)","Vector(-8.74991130828857, -0.0121089816093445, 467.126220703125)",1.6150715653945555,"Vector(359.810211181641, 179.993530273438, 4.08153646276332e-05)","Vector(-5.24986934661865, -0.00332164764404297, 449.820068359375)","[16, 2]"
4.428182833316609,"Vector(-0.000889098737388849, 180.276214599609, -1.05959452412208e-06)","Vector(-8.75106239318848, -0.0121071338653564, 466.053405761719)",2.6501445941392627,"Vector(359.764801025391, 179.991928100586, -9.82486744760536e-06)","Vector(-5.24983072280884, -0.00339403748512268, 449.274230957031)","[16, 2]"
4.650879097953337,"Vector(-0.00075430900324136, 179.98356628418, 1.9845719734235e-08)","Vector(-8.75161361694336, -0.0121113657951355, 464.913177490234)",3.4343152066448686,"Vector(359.802307128906, 179.992401123047, 7.25262943888083e-05)","Vector(-5.24980354309082, -0.00343054533004761, 448.508117675781)","[16, 2]"
4.797363296431388,"Vector(-0.000617278274148703, 180.004684448242, -2.99840326078993e-06)","Vector(-8.75146961212158, -0.0121139883995056, 463.728637695313)",4.044851304104377,"Vector(359.841796875, 179.994110107422, 0.000159774936037138)","Vector(-5.24979305267334, -0.00346967577934265, 447.565490722656)","[17, 2]"
6.353760112033263,"Vector(-0.000610662100370973, 179.980728149414, -2.81118991551921e-06)","Vector(-8.75136947631836, -0.0121142864227295, 462.807556152344)",5.180292303547147,"Vector(359.773681640625, 179.993576049805, 0.000170023558894172)","Vector(-5.24979019165039, -0.00337645411491394, 446.410400390625)","[17, 2]"
10.30883806707451,"Vector(-0.00059902883367613, 180.011047363281, -1.13354474251537e-06)","Vector(-8.75109004974365, -0.0121142268180847, 460.621612548828)",5.761606783417864,"Vector(359.829803466797, 179.991714477539, -0.000185390934348106)","Vector(-5.24968290328979, -0.00337815284729004, 445.058532714844)","[17, 2]"
12.551883152518808,"Vector(-0.000603511463850737, 179.955307006836, -2.54319417081206e-07)","Vector(-8.750807762146, -0.0121140480041504, 457.703826904297)",6.021180674886631,"Vector(359.888946533203, 179.99089050293, 4.4571057514986e-05)","Vector(-5.24951410293579, -0.00352445244789124, 443.585754394531)","[17, 2]"
13.769531250330257,"Vector(-0.000609594397246838, 180.001647949219, -1.72451933622142e-07)","Vector(-8.75207042694092, -0.0121139287948608, 454.379974365234)",6.375895564473637,"Vector(359.925170898438, 179.990859985352, 8.91497184056789e-05)","Vector(-5.24931383132935, -0.00358381867408752, 442.032348632813)","[17, 2]"
14.40429726173564,"Vector(-0.000607033318374306, 179.986312866211, -2.05676155928813e-06)","Vector(-8.75179767608643, -0.0121140480041504, 450.840057373047)",6.737019129389375,"Vector(359.907135009766, 179.989776611328, 0.000191454528248869)","Vector(-5.24908781051636, -0.00366315245628357, 440.388732910156)","[17, 2]"
14.724731608684815,"Vector(-0.000610021059401333, 180.009002685547, -2.52976678893901e-06)","Vector(-8.75147151947021, -0.0121137499809265, 447.189636230469)",7.137362088741534,"Vector(359.912139892578, 179.989334106445, 0.000192272273125127)","Vector(-5.24883079528809, -0.00376513600349426, 438.651336669922)","[17, 2]"
14.877321544365842,"Vector(-0.000609701382927597, 179.966217041016, -7.19052479780657e-07)","Vector(-8.75122356414795, -0.0121137499809265, 443.485076904297)",7.502236915352703,"Vector(359.907165527344, 179.988906860352, 0.000315548590151593)","Vector(-5.24855947494507, -0.00382852554321289, 436.814270019531)","[17, 2]"
14.94750977049386,"Vector(-0.000609487644396722, 180.007019042969, -4.45902770707107e-07)","Vector(-8.75208187103271, -0.0121138691902161, 439.755035400391)",7.906252961947065,"Vector(359.909423828125, 179.98908996582, 0.000291196804028004)","Vector(-5.24826669692993, -0.0039253830909729, 434.892547607422)","[23, 2]"
