NPC_speed,NPC_Angle,NPC_location,AV_speed,AV_angle,AV_location,NPC_CMD
0.0,"Vector(0, 180, 0)","Vector(-8.74997138977051, 0, 470.185546875)",0.0,"Vector(0, 180, 0)","Vector(-5.24997282028198, 0, 450.185546875)","[1, 0]"
5.456607226829589,"Vector(359.977264404297, 180.055236816406, -1.09998691186775e-05)","Vector(-8.74993419647217, -0.00787311792373657, 469.433410644531)",0.2626661151834162,"Vector(359.9638671875, 179.987228393555, -0.000132904126076028)","Vector(-5.24996471405029, -0.00224068760871887, 450.167938232422)","[1, 0]"
10.342412640158662,"Vector(0.0102473087608814, 180.047805786133, 8.42646113596857e-06)","Vector(-8.75002956390381, -0.0113601684570313, 467.367523193359)",0.6304202895070323,"Vector(359.921295166016, 179.991882324219, 7.23246412235312e-05)","Vector(-5.24993371963501, -0.00310200452804565, 450.04443359375)","[1, 0]"
14.318848053570624,"Vector(0.0123271029442549, 179.984100341797, -4.22198627347825e-06)","Vector(-8.75001335144043, -0.0120805501937866, 464.206665039063)",1.296061603883399,"Vector(359.871459960938, 179.992889404297, 2.08365909202257e-05)","Vector(-5.24989938735962, -0.00325620174407959, 449.81689453125)","[1, 0]"
17.391968151200007,"Vector(0.00416513392701745, 180.013076782227, 3.22549726661236e-06)","Vector(-8.74954509735107, -0.012127697467804, 460.179382324219)",2.4166995054270712,"Vector(359.775451660156, 179.989196777344, -0.000158215872943401)","Vector(-5.24980211257935, -0.00336587429046631, 449.349090576172)","[1, 0]"
19.659498981462754,"Vector(-9.31676404434256e-05, 180.164566040039, -3.56906724618966e-07)","Vector(-8.75043869018555, -0.0121093392372131, 455.499145507813)",3.349748231095665,"Vector(359.770721435547, 179.985397338867, -0.000160574083565734)","Vector(-5.24962854385376, -0.00344538688659668, 448.610748291016)","[1, 0]"
21.252442484907135,"Vector(-0.000900411570910364, 179.97119140625, -1.74014860476746e-06)","Vector(-8.75171947479248, -0.012106716632843, 450.349212646484)",4.0984498063328605,"Vector(359.811218261719, 179.984115600586, -2.85623445961392e-06)","Vector(-5.24942827224731, -0.00347587466239929, 447.679473876953)","[1, 0]"
22.329712208154774,"Vector(-0.000745878322049975, 179.982620239258, -1.98499742509739e-06)","Vector(-8.75111865997314, -0.0121117234230042, 444.876159667969)",4.993808380369077,"Vector(359.804931640625, 179.983581542969, 9.91298074950464e-05)","Vector(-5.24919652938843, -0.00357609987258911, 446.548675537109)","[1, 0]"
23.019409179888136,"Vector(-0.000611515424679965, 180.009643554688, 3.11080952997145e-07)","Vector(-8.75139141082764, -0.0121137499809265, 439.190704345703)",5.634734406993274,"Vector(359.81640625, 179.981491088867, -0.000170148283359595)","Vector(-5.24886655807495, -0.00338619947433472, 445.173767089844)","[20, 1]"
1.271309031969854,"Vector(-0.000592215510550886, 167.49755859375, 1.35620657601976e-05)","Vector(-8.72544384002686, -0.012114405632019, 439.008483886719)",6.365172585156492,"Vector(359.847564697266, 179.982284545898, 0.000197148896404542)","Vector(-5.24849700927734, -0.0035681426525116, 443.660064697266)","[20, 1]"
