NPC_speed,NPC_Angle,NPC_location,AV_speed,AV_angle,AV_location,NPC_CMD
0.0,"Vector(0, 180, 0)","Vector(-8.74997138977051, 0, 470.185546875)",0.0,"Vector(0, 180, 0)","Vector(-5.24997282028198, 0, 450.185546875)","[23, 1]"
1.5932298059018941,"Vector(359.977264404297, 180.049026489258, -1.04817308965721e-05)","Vector(-8.74996471405029, -0.00787317752838135, 469.966156005859)",0.3667315786365785,"Vector(359.946655273438, 179.991958618164, -0.000117719268018845)","Vector(-5.24996948242188, -0.00225237011909485, 450.151306152344)","[23, 1]"
3.018196762426371,"Vector(0.0102577684447169, 180.027328491211, 7.75085391069297e-06)","Vector(-8.74997997283936, -0.0113611221313477, 469.363983154297)",1.156916062274224,"Vector(359.850067138672, 179.988464355469, 1.82043331733439e-05)","Vector(-5.24993276596069, -0.00314369797706604, 449.958648681641)","[23, 1]"
4.177859606297676,"Vector(0.0123157845810056, 179.928665161133, -1.55826255650027e-05)","Vector(-8.75000953674316, -0.0120794773101807, 468.442047119141)",2.2309764295380137,"Vector(359.777862548828, 179.986709594727, -9.80879462986195e-07)","Vector(-5.24985647201538, -0.00334998965263367, 449.534881591797)","[23, 1]"
5.072023464951566,"Vector(0.00415125908330083, 179.947250366211, -4.26220321969595e-06)","Vector(-8.74994277954102, -0.012127697467804, 467.267303466797)",3.1429851314448363,"Vector(359.778991699219, 179.986190795898, 6.67369749862701e-05)","Vector(-5.24975061416626, -0.0034293532371521, 448.844879150391)","[23, 1]"
5.734346229024748,"Vector(-8.47344199428335e-05, 179.763870239258, 1.36102710257546e-06)","Vector(-8.74824523925781, -0.0121096968650818, 465.902191162109)",3.8509667071953477,"Vector(359.822845458984, 179.987976074219, 0.000169521605130285)","Vector(-5.24965858459473, -0.00346612930297852, 447.956695556641)","[23, 1]"
6.198120190558958,"Vector(-0.000893580669071525, 179.990844726563, 2.7798951123259e-06)","Vector(-8.74768543243408, -0.0121070146560669, 464.400115966797)",4.606138249021351,"Vector(359.825805664063, 179.989685058594, 0.000187981218914501)","Vector(-5.24957513809204, -0.00352936983108521, 446.883941650391)","[23, 1]"
6.51245135064398,"Vector(-0.00075270829256624, 180.013900756836, 7.15545979801391e-07)","Vector(-8.74770736694336, -0.0121114253997803, 462.803833007813)",5.471261515047397,"Vector(359.814758300781, 179.990646362305, 0.000215497886529192)","Vector(-5.2494912147522, -0.00327032804489136, 445.626831054688)","[23, 1]"
6.713867406964044,"Vector(-0.000615997996646911, 179.985137939453, -2.19079629459884e-06)","Vector(-8.74776077270508, -0.0121141076087952, 461.1455078125)",5.97566375469056,"Vector(359.849700927734, 179.989990234375, -0.000100602585007437)","Vector(-5.24933910369873, -0.00348755717277527, 444.189666748047)","[28, 2]"
5.96046447753906e-06,"Vector(-0.000615784549154341, 179.985137939453, -2.42386022364371e-06)","Vector(-8.74776077270508, -0.0121136903762817, 461.1455078125)",6.674947369200728,"Vector(359.852111816406, 179.987350463867, -3.7069203244755e-05)","Vector(-5.24907684326172, -0.00365635752677917, 442.588134765625)","[28, 2]"
0.0,"Vector(-0.000615571101661772, 179.985137939453, -2.29111014959926e-06)","Vector(-8.74776077270508, -0.0121136903762817, 461.1455078125)",7.168549681453525,"Vector(359.873931884766, 179.986312866211, 7.13787303538993e-05)","Vector(-5.24876403808594, -0.00372722744941711, 440.870880126953)","[28, 2]"
0.0,"Vector(-0.000593586475588381, 179.985137939453, -2.27991426982044e-06)","Vector(-8.74776077270508, -0.0121144652366638, 461.1455078125)",8.148504501874978,"Vector(359.803192138672, 179.982421875, 1.38861132654711e-05)","Vector(-5.24834632873535, -0.0039198100566864, 438.949645996094)","[28, 2]"
0.0,"Vector(-0.000598068756517023, 179.985137939453, -2.39836936088977e-06)","Vector(-8.74776077270508, -0.0121141076087952, 461.1455078125)",8.505417066989557,"Vector(359.873657226563, 179.984390258789, 0.000365195475751534)","Vector(-5.24787473678589, -0.00408199429512024, 436.842559814453)","[28, 2]"
