NPC_speed,NPC_Angle,NPC_location,AV_speed,AV_angle,AV_location,NPC_CMD
0.0,"Vector(0, 180, 0)","Vector(-8.74997138977051, 0, 470.185546875)",0.0,"Vector(0, 180, 0)","Vector(-5.24997282028198, 0, 450.185546875)","[8, 1]"
2.047894957546807,"Vector(359.977264404297, 180.049682617188, -1.07740315797855e-05)","Vector(-8.74996280670166, -0.00787317752838135, 469.903564453125)",0.34105674680430537,"Vector(359.950622558594, 179.982391357422, -0.00274615385569632)","Vector(-5.24945449829102, -0.00224971771240234, 450.154571533203)","[8, 1]"
3.8787907792170193,"Vector(0.0102549949660897, 180.02880859375, 7.89525165600935e-06)","Vector(-8.74998760223389, -0.0113601088523865, 469.129150390625)",1.09838008940972,"Vector(359.857147216797, 179.961730957031, 0.00147333298809826)","Vector(-5.24892091751099, -0.00313934683799744, 449.970489501953)","[8, 1]"
5.371099251163528,"Vector(0.012315034866333, 179.915756225586, -1.80816241481807e-05)","Vector(-8.75003719329834, -0.012080192565918, 467.943725585938)",2.142326382511766,"Vector(359.785461425781, 179.962036132813, 0.000722195953130722)","Vector(-5.24871110916138, -0.0033416748046875, 449.56689453125)","[8, 1]"
6.521611969454152,"Vector(0.00416449131444097, 179.918899536133, -5.62977584195323e-06)","Vector(-8.74991893768311, -0.0121278762817383, 466.433288574219)",3.034958249763525,"Vector(359.776092529297, 179.966842651367, 0.000543820089660585)","Vector(-5.24848222732544, -0.00342017412185669, 448.906188964844)","[8, 1]"
7.373047260567922,"Vector(-7.52390769775957e-05, 180.013046264648, 2.37306949202321e-06)","Vector(-8.74735832214355, -0.0121097564697266, 464.678192138672)",3.784219092450184,"Vector(359.812713623047, 179.974533081055, 0.000536086387000978)","Vector(-5.24828767776489, -0.00345441699028015, 448.043212890625)","[8, 1]"
7.971191534629981,"Vector(-0.000893473799806088, 179.985900878906, 2.24558425543364e-06)","Vector(-8.74789428710938, -0.0121069550514221, 462.746917724609)",4.74325903096527,"Vector(359.788970947266, 179.980651855469, 0.00047993054613471)","Vector(-5.24811601638794, -0.00354117155075073, 446.977294921875)","[8, 1]"
8.374027547810481,"Vector(-0.000747478799894452, 180.018783569336, -4.63505813286247e-07)","Vector(-8.74864101409912, -0.0121117234230042, 460.694549560547)",5.506388727468037,"Vector(359.803375244141, 179.984634399414, 0.000392033194657415)","Vector(-5.24793148040771, -0.00328943133354187, 445.689117431641)","[8, 1]"
8.633423325620575,"Vector(-0.000617172103375196, 179.94953918457, -8.61833427734382e-07)","Vector(-8.74950408935547, -0.0121139287948608, 458.562469482422)",6.30671462995711,"Vector(359.820281982422, 179.986938476563, 0.000280845037195832)","Vector(-5.24772262573242, -0.00353541970252991, 444.189697265625)","[24, 2]"
2.5421144027376923,"Vector(-0.000601803709287196, 180.001312255859, -9.29723796616599e-07)","Vector(-8.74964618682861, -0.0121140480041504, 458.194030761719)",6.829235739119011,"Vector(359.853393554688, 179.984893798828, -7.93946819612756e-05)","Vector(-5.24739599227905, -0.00369539856910706, 442.535064697266)","[24, 2]"
4.122929464744529,"Vector(-0.000607884547207505, 180.166290283203, -2.02328169507382e-06)","Vector(-8.74998760223389, -0.0121141672134399, 457.319763183594)",7.329478447954033,"Vector(359.881713867188, 179.984329223633, 0.00017170567298308)","Vector(-5.24699401855469, -0.00380665063858032, 440.758758544922)","[24, 2]"
5.020142311745452,"Vector(-0.000604897795710713, 180.093338012695, -1.29610543808667e-06)","Vector(-8.75043964385986, -0.012114405632019, 456.152770996094)",7.617857092924642,"Vector(359.914184570313, 179.986663818359, 0.00054895831272006)","Vector(-5.24662351608276, -0.00386524200439453, 438.891448974609)","[24, 2]"
5.5084236969247105,"Vector(-0.000603191263508052, 179.994003295898, -3.09922756969172e-06)","Vector(-8.75060367584229, -0.0121139883995056, 454.8232421875)",8.0393935738381,"Vector(359.904632568359, 179.986953735352, 0.00038525860873051)","Vector(-5.24625968933105, -0.00392726063728333, 436.934326171875)","[24, 2]"
