NPC_speed,NPC_Angle,NPC_location,AV_speed,AV_angle,AV_location,NPC_CMD
0.0,"Vector(0, 180, 0)","Vector(-8.74997138977051, 0, 470.185546875)",0.0,"Vector(0, 180, 0)","Vector(-5.24997282028198, 0, 450.185546875)","[25, 2]"
2.2737088353260018,"Vector(359.977264404297, 180.050018310547, -1.13228479676764e-05)","Vector(-8.74995708465576, -0.00787317752838135, 469.872222900391)",0.2246687577789445,"Vector(359.967559814453, 180.007125854492, -0.000112504545541015)","Vector(-5.24996757507324, -0.00223970413208008, 450.169555664063)","[25, 2]"
4.309088126993509,"Vector(0.0102524338290095, 180.029602050781, 7.33526076146518e-06)","Vector(-8.74998378753662, -0.0113602876663208, 469.011657714844)",0.4737961162474829,"Vector(359.943054199219, 180.006652832031, 7.53590720705688e-05)","Vector(-5.24997854232788, -0.00308653712272644, 450.072784423828)","[25, 2]"
5.9692453755127675,"Vector(0.0123157817870378, 179.907440185547, -1.83760930667631e-05)","Vector(-8.75004005432129, -0.0120797753334045, 467.694610595703)",0.031520255023646436,"Vector(0.0526671372354031, 180.011947631836, 0.00028207155992277)","Vector(-5.24997854232788, -0.00313159823417664, 450.043914794922)","[25, 2]"
7.244994565258914,"Vector(0.00416094018146396, 180.358139038086, 1.69592258316698e-05)","Vector(-8.75093650817871, -0.0121276378631592, 466.016510009766)",0.6910754653884024,"Vector(359.912994384766, 180.009140014648, 4.3002550228266e-05)","Vector(-5.24998950958252, -0.00321805477142334, 449.960174560547)","[25, 2]"
8.19091821364073,"Vector(-7.47062731534243e-05, 179.954925537109, -2.71327917289454e-06)","Vector(-8.75261116027832, -0.012109637260437, 464.06640625)",1.6731459422834019,"Vector(359.805999755859, 180.007431030273, -5.6124114053091e-05)","Vector(-5.25002813339233, -0.00332438945770264, 449.665222167969)","[25, 2]"
8.856207272525172,"Vector(-0.000896889250725508, 179.996673583984, -1.75573518390593e-06)","Vector(-8.75186920166016, -0.0121067762374878, 461.920532226563)",2.8290088488723457,"Vector(359.750030517578, 180.004470825195, -0.000130011583678424)","Vector(-5.25009536743164, -0.00340932607650757, 449.097839355469)","[25, 2]"
9.304816260468407,"Vector(-0.000755696557462215, 179.977325439453, -5.57897919861716e-07)","Vector(-8.75114727020264, -0.0121113657951355, 459.640075683594)",3.494916222421464,"Vector(359.804809570313, 180.003158569336, -4.43342105427291e-05)","Vector(-5.25018167495728, -0.0034446120262146, 448.302215576172)","[25, 2]"
9.591676136468688,"Vector(-0.000611193769145757, 180.079544067383, -2.3014383714326e-06)","Vector(-8.75032329559326, -0.0121138095855713, 457.271087646484)",4.339344540583099,"Vector(359.812133789063, 180.002212524414, 1.34075453388505e-05)","Vector(-5.25029277801514, -0.00349316000938416, 447.327728271484)","[21, 1]"
3.8116462535835187,"Vector(-0.000601910520344973, 179.994018554688, -1.54569829646789e-06)","Vector(-8.75011539459229, -0.0121140480041504, 456.718444824219)",5.178134467647135,"Vector(359.802032470703, 180.001480102539, 0.000137361930683255)","Vector(-5.25042295455933, -0.00336399674415588, 446.128967285156)","[21, 1]"
6.185913086672634,"Vector(-0.000601376406848431, 180.024383544922, -2.01955435841228e-06)","Vector(-8.74957656860352, -0.0121140480041504, 455.406921386719)",5.8960839047754,"Vector(359.814849853516, 179.997207641602, -0.000339070858899504)","Vector(-5.25045585632324, -0.00342968106269836, 444.731811523438)","[21, 1]"
7.531739450160212,"Vector(-0.00060457841027528, 180.003555297852, -2.37756830756553e-06)","Vector(-8.74965381622314, -0.0121138691902161, 453.656219482422)",6.7262802390033025,"Vector(359.817169189453, 179.995040893555, -6.91620380166569e-06)","Vector(-5.25043153762817, -0.00364631414413452, 443.152252197266)","[21, 1]"
8.261109614420604,"Vector(-0.000607246707659215, 179.965103149414, -4.32771884106842e-07)","Vector(-8.74971866607666, -0.0121139883995056, 451.661865234375)",7.172859698281117,"Vector(359.862426757813, 179.99284362793, -9.07929861568846e-05)","Vector(-5.25032043457031, -0.0037854015827179, 441.426055908203)","[21, 1]"
8.642578150784432,"Vector(-0.00060692650731653, 179.964248657227, -3.87040529403748e-07)","Vector(-8.74971771240234, -0.0121139287948608, 449.537841796875)",7.452338254882907,"Vector(359.912231445313, 179.992584228516, 0.000137831142637879)","Vector(-5.25013637542725, -0.00383701920509338, 439.580444335938)","[21, 1]"
8.83484303643137,"Vector(-0.000609487702604383, 179.998077392578, -1.59899877871794e-06)","Vector(-8.74969673156738, -0.0121138095855713, 447.34765625)",7.707074181565293,"Vector(359.934967041016, 179.994400024414, 0.000503860355820507)","Vector(-5.2499942779541, -0.00390854477882385, 437.68798828125)","[21, 1]"
8.926397543687099,"Vector(-0.000619090511463583, 180.086578369141, -2.95474455924705e-06)","Vector(-8.74971389770508, -0.0121138095855713, 445.124908447266)",8.18978218037716,"Vector(359.906188964844, 179.992782592773, 0.000262945133727044)","Vector(-5.2498345375061, -0.00398179888725281, 435.713500976563)","[21, 1]"
8.969116223620789,"Vector(-0.000614608929026872, 180.126281738281, -1.61794946507143e-06)","Vector(-8.74991893768311, -0.0121139883995056, 442.886901855469)",8.38845162875592,"Vector(359.927764892578, 179.992431640625, 0.000370897469110787)","Vector(-5.24962377548218, -0.004139244556427, 433.626251220703)","[2, 1]"
3.428275887334878,"Vector(-0.000587635731790215, 172.466278076172, 9.18152454687515e-06)","Vector(-8.70704174041748, -0.0121151804924011, 442.370666503906)",8.563749366723096,"Vector(359.952453613281, 179.99333190918, 0.000429081148467958)","Vector(-5.2494158744812, -0.00412717461585999, 431.508605957031)","[2, 1]"
4.974567114501346,"Vector(-0.000604262517299503, 167.079696655273, -3.8767971091147e-06)","Vector(-8.50674152374268, -0.0121138095855713, 441.290802001953)",8.61943536714811,"Vector(359.973571777344, 179.993469238281, 0.000485044380184263)","Vector(-5.249192237854, -0.00417101383209229, 429.3603515625)","[2, 1]"
5.2357179200356105,"Vector(-0.000607507303357124, 163.291000366211, -1.49521770254069e-06)","Vector(-8.2104549407959, -0.0121132731437683, 440.15283203125)",8.670589504241851,"Vector(359.982818603516, 179.994537353516, 0.00058803940191865)","Vector(-5.24899673461914, -0.00421109795570374, 427.19921875)","[2, 1]"
6.600314479006277,"Vector(-0.000616614182945341, 159.66145324707, -1.81918676389614e-06)","Vector(-7.74382257461548, -0.0121130347251892, 438.751556396484)",8.723493601556086,"Vector(359.984771728516, 179.995346069336, 0.000579439918510616)","Vector(-5.24882698059082, -0.00413724780082703, 425.024719238281)","[2, 1]"
8.012685868960236,"Vector(-0.000624684616923332, 156.17643737793, -5.87052682021749e-06)","Vector(-7.0381007194519, -0.012113094329834, 437.038604736328)",8.775649089498085,"Vector(359.985168457031, 179.996047973633, 0.000570692180190235)","Vector(-5.24868631362915, -0.00415518879890442, 422.837158203125)","[2, 1]"
7.819536629177886,"Vector(-0.000613241456449032, 159.357940673828, -2.21569971472491e-05)","Vector(-6.21647167205811, -0.012113630771637, 435.130706787109)",8.828063024006438,"Vector(359.985260009766, 179.996505737305, 0.000542532477993518)","Vector(-5.2485613822937, -0.00414714217185974, 420.636474609375)","[2, 1]"
6.654546849183568,"Vector(-0.000590244540944695, 166.069686889648, -6.04767546974472e-06)","Vector(-5.68933629989624, -0.0121148228645325, 433.444213867188)",8.878684062085608,"Vector(359.985321044922, 179.997207641602, 0.000603415130171925)","Vector(-5.24846315383911, -0.00422927737236023, 418.423126220703)","[2, 1]"
6.237235038384603,"Vector(-0.000602222164161503, 171.252838134766, 2.11565793506452e-06)","Vector(-5.3748779296875, -0.0121138691902161, 431.879455566406)",8.930090915557653,"Vector(359.9853515625, 179.997665405273, 0.000563136651180685)","Vector(-5.24838352203369, -0.00420942902565002, 416.196899414063)","[19, 2]"
3.0688520414796026,"Vector(-0.000595950812567025, 154.754409790039, 2.13960665860213e-05)","Vector(-5.23393774032593, -0.0121140480041504, 431.481750488281)",8.981774335308028,"Vector(359.9853515625, 179.997924804688, 0.000523309921845794)","Vector(-5.24831485748291, -0.00418952107429504, 413.957733154297)","[19, 2]"
6.97247016565054,"Vector(-0.000613966549281031, 141.881103515625, 1.33597538365393e-07)","Vector(-4.58052682876587, -0.0121142268180847, 430.452026367188)",9.04133796894228,"Vector(359.984344482422, 179.998458862305, 0.000556001323275268)","Vector(-5.24826574325562, -0.00419670343399048, 411.705322265625)","[19, 2]"
